top_left_LDR,top_right_LDR,bottom_left_LDR,bottom_right_LDR,hour,voltage,current,optimal_horizontal_angle,optimal_vertical_angle
741,732,729,758,16,6.51,0.7,89,89
530,498,445,445,8,4.22,0.68,90,93
500,502,586,575,12,4.76,0.5,90,86
766,716,789,777,18,6.7,0.8,91,87
697,632,642,690,13,5.85,0.93,90,89
568,550,547,590,12,4.96,0.71,89,89
475,540,479,534,6,4.46,0.79,87,90
737,734,795,823,12,6.79,0.86,89,86
849,817,877,905,10,7.58,1.25,90,87
484,477,434,485,16,4.13,0.44,88,91
516,571,550,493,8,4.68,0.56,90,91
443,539,474,537,13,4.38,0.69,86,89
654,730,681,666,12,6.01,0.91,88,90
561,558,486,474,7,4.57,0.59,90,93
464,481,421,489,13,4.08,0.61,87,90
624,599,599,600,6,5.33,0.6,90,90
427,497,441,433,11,3.95,0.46,88,91
431,455,379,424,15,3.71,0.63,88,92
434,446,393,407,13,3.7,0.6,89,92
566,528,558,511,12,4.76,0.85,92,90
302,341,307,299,18,2.75,0.47,89,90
747,735,738,668,10,6.35,0.95,92,91
774,790,770,765,16,6.82,0.92,89,90
670,581,650,575,10,5.45,0.78,94,90
756,752,739,684,11,6.45,1.03,91,92
569,585,566,632,13,5.17,0.56,87,88
774,766,738,694,17,6.54,0.8,91,92
327,293,270,279,9,2.57,0.46,90,91
421,430,374,387,11,3.55,0.45,89,92
538,546,465,483,7,4.47,0.53,89,93
633,640,645,648,11,5.64,0.73,89,89
450,453,378,465,7,3.84,0.41,87,91
582,596,533,594,8,5.07,0.56,88,91
433,449,461,419,16,3.88,0.68,90,90
613,632,646,594,6,5.47,0.91,90,90
580,595,574,638,13,5.25,0.63,88,89
481,460,427,470,10,4.04,0.42,89,91
594,644,677,655,8,5.65,0.86,89,87
874,862,873,867,6,7.65,1.34,90,89
635,610,656,581,11,5.46,0.62,92,90
774,744,799,811,14,6.88,1.13,90,87
830,827,846,812,8,7.29,1.21,90,89
445,405,487,471,12,3.98,0.44,91,87
729,698,688,674,7,6.13,1.07,91,91
767,769,757,744,11,6.68,0.71,90,90
647,647,669,651,13,5.75,0.93,90,89
617,611,579,588,9,5.27,0.76,89,91
799,781,778,718,10,6.77,0.99,91,92
365,337,327,318,9,2.96,0.41,90,91
429,487,478,469,15,4.1,0.73,88,89
488,509,425,489,13,4.2,0.53,87,92
526,549,520,471,14,4.54,0.73,90,92
721,678,654,725,14,6.11,0.81,89,90
789,825,736,740,7,6.8,1.12,89,93
909,871,896,845,6,7.74,0.87,92,90
817,821,766,790,6,7.02,1.26,89,92
351,370,418,374,12,3.33,0.37,90,88
805,752,805,776,13,6.9,0.79,92,89
877,885,875,928,8,7.84,1.39,88,88
351,407,347,389,8,3.29,0.57,87,90
734,648,707,723,14,6.18,0.63,91,88
428,469,420,462,13,3.91,0.5,87,90
817,773,814,810,7,7.07,0.74,91,89
567,598,544,581,10,5.04,0.73,88,91
759,770,760,796,7,6.79,0.85,88,89
578,589,600,651,17,5.32,0.86,88,87
318,345,321,321,6,2.87,0.47,89,90
677,616,630,634,17,5.62,0.64,91,90
604,579,591,616,16,5.26,0.72,90,89
689,642,650,698,8,5.89,0.61,89,89
680,675,660,598,14,5.75,0.89,91,92
413,412,380,376,16,3.48,0.49,90,91
426,481,432,501,7,4.05,0.48,86,89
846,843,916,902,10,7.71,0.85,90,86
812,903,830,845,12,7.46,1.0,87,91
462,450,431,485,7,4.02,0.46,88,89
306,312,368,355,17,2.95,0.37,90,87
740,736,783,774,6,6.67,0.75,90,87
392,395,431,427,14,3.62,0.4,90,88
868,875,865,870,14,7.65,1.19,89,90
497,501,457,477,11,4.25,0.45,89,91
355,284,310,303,11,2.75,0.41,91,90
783,792,736,717,15,6.66,1.01,90,93
858,918,933,893,14,7.92,1.41,89,88
351,341,315,322,12,2.92,0.3,90,91
486,537,498,557,14,4.57,0.72,87,89
347,350,333,288,14,2.9,0.52,91,91
642,618,700,639,11,5.72,0.91,92,88
766,739,825,776,15,6.83,0.71,91,87
552,532,552,533,14,4.77,0.76,90,89
829,831,831,839,18,7.32,1.0,89,89
369,368,342,388,6,3.23,0.48,88,90
492,529,470,538,17,4.46,0.61,87,90
648,575,641,584,6,5.38,0.56,93,89
788,800,734,783,13,6.83,0.76,88,91
743,830,807,818,15,7.03,1.24,87,88
647,673,628,618,10,5.64,1.0,89,91
816,878,893,828,13,7.51,1.34,90,89
759,797,702,762,18,6.64,1.1,87,92
745,740,768,749,18,6.6,1.02,90,89
632,598,582,598,16,5.3,0.58,90,91
563,642,653,596,10,5.4,0.91,89,88
432,428,390,443,9,3.72,0.5,88,90
655,697,696,723,17,6.09,0.83,88,88
439,437,380,416,18,3.68,0.48,89,92
783,739,768,759,15,6.71,0.8,91,89
540,524,554,527,12,4.72,0.57,91,89
829,876,830,878,7,7.51,1.28,87,89
803,744,829,760,17,6.9,0.75,93,88
704,690,731,734,16,6.29,0.95,90,88
903,901,914,909,6,7.98,1.13,90,89
528,479,475,483,10,4.32,0.67,91,91
466,482,479,481,11,4.2,0.7,89,89
562,591,528,506,11,4.81,0.73,89,92
753,756,672,754,11,6.46,1.06,87,92
744,657,676,708,14,6.13,1.04,91,90
635,641,648,593,9,5.54,0.57,91,90
723,699,721,724,14,6.31,0.65,90,89
735,724,719,642,13,6.2,0.72,92,92
590,603,570,607,11,5.21,0.63,88,90
467,386,414,441,16,3.76,0.38,91,89
675,735,744,722,12,6.33,1.03,89,88
428,479,499,486,13,4.16,0.42,89,88
603,641,586,610,8,5.37,0.93,88,91
655,693,706,686,7,6.03,0.92,89,88
765,744,768,728,17,6.61,0.96,91,90
913,892,917,860,13,7.88,0.85,91,90
613,614,601,665,12,5.48,0.67,88,89
866,877,897,843,13,7.66,1.25,91,90
645,677,648,732,11,5.94,0.91,87,88
891,861,840,892,18,7.66,1.2,89,90
710,698,668,667,12,6.03,0.98,90,91
639,636,664,612,17,5.61,0.6,91,89
345,308,334,338,11,2.91,0.43,90,89
745,733,712,705,7,6.37,0.97,90,91
693,763,762,771,9,6.57,1.01,88,88
510,498,449,521,14,4.35,0.68,88,90
453,494,471,423,11,4.05,0.43,90,91
471,495,443,429,13,4.04,0.6,89,92
429,359,448,376,13,3.55,0.37,93,89
748,750,747,764,7,6.62,1.05,89,89
385,391,328,377,14,3.26,0.49,88,91
677,615,604,648,15,5.6,0.92,90,91
839,770,768,746,15,6.87,1.17,92,92
465,476,471,468,11,4.13,0.63,89,90
763,721,734,800,11,6.64,0.94,89,88
455,464,393,469,9,3.92,0.6,87,91
820,826,839,823,17,7.28,0.78,90,89
433,433,396,388,14,3.63,0.38,90,92
796,794,856,847,7,7.24,1.26,90,87
808,823,780,768,7,6.99,1.22,89,92
809,787,751,809,12,6.94,1.21,89,90
808,783,878,829,17,7.25,0.99,91,87
654,683,704,675,16,5.97,0.65,90,88
343,298,360,346,6,2.96,0.31,91,88
802,815,814,853,17,7.22,0.78,88,88
581,638,605,611,11,5.36,0.78,88,90
913,869,934,927,10,8.01,0.99,91,88
523,479,499,463,8,4.32,0.63,92,91
445,409,411,436,7,3.74,0.45,90,90
644,683,641,660,15,5.78,0.8,88,90
293,338,351,309,6,2.84,0.46,89,89
818,720,809,787,8,6.89,1.22,93,88
720,681,707,688,17,6.15,0.66,91,90
603,616,616,637,11,5.44,0.56,89,89
529,588,548,516,12,4.8,0.84,89,91
337,359,347,335,9,3.03,0.32,89,90
610,640,609,629,10,5.47,0.75,88,90
354,354,322,318,6,2.96,0.53,90,91
652,648,649,705,9,5.84,0.59,88,88
568,634,570,584,12,5.18,0.63,88,91
434,444,453,464,9,3.95,0.48,89,89
810,751,796,748,10,6.83,0.81,92,90
516,498,529,544,11,4.59,0.61,90,88
755,762,823,789,12,6.88,1.2,90,87
735,721,672,721,9,6.27,1.13,89,91
524,526,571,553,10,4.78,0.84,90,88
683,743,729,663,8,6.2,0.77,90,90
590,511,587,569,8,4.96,0.72,92,88
552,526,590,623,17,5.04,0.56,89,86
454,368,395,400,12,3.56,0.47,92,90
838,835,844,797,15,7.29,1.1,91,90
889,910,825,840,18,7.62,0.84,89,93
449,468,406,473,12,3.95,0.5,87,90
720,676,675,744,12,6.19,0.87,89,89
471,515,505,481,18,4.34,0.5,89,90
518,482,493,472,14,4.32,0.48,91,90
418,446,408,413,7,3.71,0.46,89,91
318,346,314,283,14,2.77,0.35,90,91
599,624,622,653,12,5.49,0.57,88,88
887,871,862,853,12,7.64,1.29,90,91
335,307,284,366,14,2.84,0.48,88,89
517,578,591,547,12,4.91,0.87,89,88
520,546,472,470,6,4.42,0.5,89,93
617,541,607,614,7,5.23,0.55,91,88
748,699,689,736,9,6.32,0.95,90,90
353,426,365,360,8,3.31,0.47,88,91
750,754,759,752,10,6.63,1.19,90,89
596,586,547,580,18,5.08,0.9,89,91
874,830,826,873,18,7.48,1.02,89,90
667,639,661,678,9,5.82,0.79,90,89
750,693,769,743,11,6.5,0.87,92,88
931,898,878,899,10,7.93,0.83,90,91
444,403,458,408,9,3.77,0.55,92,89
641,611,597,658,18,5.51,0.91,89,89
582,627,637,583,9,5.34,0.61,90,89
366,333,335,340,11,3.02,0.3,90,90
837,768,761,845,7,7.06,0.73,89,89
782,834,809,774,15,7.04,0.99,89,90
807,760,806,820,17,7.02,1.01,90,88
321,284,286,326,9,2.68,0.43,89,89
397,378,395,376,11,3.4,0.58,90,90
488,538,470,549,7,4.5,0.61,86,90
776,792,794,820,6,7.0,1.12,88,88
486,522,493,535,10,4.48,0.56,88,89
657,665,640,652,15,5.75,0.96,89,90
508,528,551,561,9,4.72,0.54,89,88
437,370,365,408,10,3.48,0.57,90,90
425,489,453,447,16,3.99,0.47,88,90
586,565,554,584,13,5.03,0.78,89,90
562,583,616,588,15,5.17,0.71,90,88
575,536,523,520,18,4.74,0.7,91,91
818,775,787,763,7,6.91,0.82,91,91
745,727,691,699,12,6.29,0.78,90,92
646,720,646,707,11,5.98,0.7,86,90
810,769,760,798,7,6.9,1.19,90,90
645,646,614,662,7,5.65,0.66,88,90
517,570,556,616,10,4.97,0.73,87,87
684,636,661,683,11,5.86,0.7,90,89
574,579,537,562,8,4.95,0.65,89,91
902,836,822,847,12,7.49,0.8,91,91
590,531,604,550,7,5.0,0.69,92,89
737,797,816,787,17,6.9,0.88,89,88
811,785,847,798,8,7.13,1.09,91,88
547,542,478,504,6,4.55,0.72,89,92
401,347,406,405,14,3.43,0.53,91,88
556,465,479,503,7,4.41,0.77,91,90
598,557,572,574,18,5.06,0.7,90,90
523,491,536,531,15,4.58,0.53,90,88
767,763,751,703,7,6.56,1.03,91,91
781,806,741,815,13,6.91,0.77,87,90
770,839,797,751,8,6.94,0.72,89,91
414,344,411,411,15,3.48,0.62,91,88
532,531,542,545,17,4.73,0.55,89,89
705,694,714,781,6,6.37,0.98,88,87
571,556,584,597,8,5.08,0.6,90,88
783,827,734,768,15,6.84,0.77,88,92
318,368,313,348,16,2.96,0.36,87,90
722,762,792,766,15,6.69,1.13,89,88
872,843,828,814,6,7.38,0.87,91,91
620,618,614,652,6,5.51,0.78,89,89
565,504,508,544,12,4.66,0.72,90,90
714,665,657,730,15,6.08,0.63,89,89
427,465,484,499,7,4.12,0.52,88,87
436,426,402,477,17,3.83,0.68,88,89
292,275,275,351,11,2.62,0.28,88,88
351,341,307,332,11,2.93,0.34,89,91
623,637,648,604,11,5.52,0.83,90,90
792,804,820,864,7,7.21,1.17,88,87
559,495,546,522,8,4.67,0.6,92,89
449,366,459,440,13,3.77,0.46,92,87
402,418,423,358,13,3.52,0.54,91,90
761,847,808,803,6,7.08,1.06,87,89
805,839,851,848,16,7.35,0.99,89,88
743,680,710,744,9,6.33,0.8,90,89
887,835,838,888,15,7.58,0.84,90,89
622,555,577,596,13,5.17,0.75,91,90
764,732,750,706,9,6.49,0.73,91,91
780,720,727,712,12,6.46,0.91,91,91
358,300,394,305,18,2.98,0.35,93,88
652,735,725,668,10,6.11,0.81,89,89
502,566,564,481,7,4.65,0.66,90,90
585,631,595,612,13,5.33,0.57,88,90
764,769,755,844,13,6.89,1.07,87,88
474,473,491,447,9,4.15,0.49,91,90
713,714,678,671,11,6.11,0.86,90,91
460,419,424,381,6,3.7,0.64,92,91
746,836,768,805,12,6.94,0.91,86,90
760,770,810,798,15,6.9,1.17,90,88
523,503,528,550,15,4.63,0.59,89,88
673,690,700,684,9,6.04,1.08,89,89
824,796,823,798,10,7.13,0.9,91,89
571,556,553,534,11,4.87,0.76,90,91
759,670,694,756,7,6.33,0.91,90,89
474,483,422,428,17,3.97,0.63,89,92
732,652,718,736,13,6.24,0.69,91,88
749,803,758,774,8,6.78,0.95,88,90
578,574,564,651,6,5.21,0.93,87,88
570,535,525,565,16,4.83,0.81,89,90
813,795,808,782,13,7.03,1.07,91,90
601,626,638,568,15,5.35,0.54,91,90
545,558,520,526,18,4.73,0.65,89,91
293,373,290,293,12,2.75,0.34,87,92
623,660,640,684,9,5.73,0.79,87,88
823,846,839,829,8,7.34,1.17,89,90
555,494,482,525,16,4.52,0.65,90,91
410,496,473,494,11,4.12,0.53,87,88
607,657,664,655,12,5.68,0.88,88,88
824,854,876,885,12,7.56,0.93,89,87
531,524,587,597,17,4.92,0.64,89,86
419,390,383,386,15,3.47,0.36,90,91
436,424,455,420,9,3.82,0.49,91,89
617,657,590,572,16,5.36,0.57,89,92
734,679,692,712,13,6.2,0.64,90,90
831,843,908,920,12,7.7,1.21,89,86
572,513,570,548,16,4.85,0.64,92,89
664,737,694,745,14,6.25,1.0,86,89
809,870,829,817,16,7.31,1.11,88,90
518,542,552,510,16,4.67,0.67,90,89
712,682,673,711,11,6.11,1.04,89,90
770,774,766,765,6,6.76,0.75,89,90
455,437,489,479,16,4.09,0.43,90,88
879,852,912,908,16,7.81,0.83,90,87
486,499,512,503,18,4.4,0.56,89,89
787,866,826,815,18,7.24,1.25,88,90
818,786,770,785,13,6.95,1.08,90,91
497,573,515,541,6,4.68,0.7,87,90
576,571,589,561,10,5.05,0.79,90,89
386,415,420,413,13,3.59,0.54,89,89
810,785,787,733,16,6.85,0.94,91,91
791,861,874,807,16,7.33,0.73,89,89
314,325,323,322,15,2.82,0.41,89,89
570,542,591,621,8,5.11,0.53,89,87
697,715,762,763,12,6.46,0.8,89,87
588,600,651,628,7,5.43,0.97,90,87
575,559,614,641,17,5.25,0.57,89,86
423,407,351,368,11,3.41,0.38,89,92
708,655,746,672,16,6.12,0.93,93,88
429,442,460,432,12,3.88,0.51,90,89
502,595,535,589,7,4.88,0.55,86,89
828,861,908,851,14,7.58,0.92,90,88
716,764,772,767,14,6.64,0.84,88,88
562,583,544,576,8,4.98,0.69,88,90
781,820,766,805,15,6.98,0.96,88,90
393,319,338,319,13,3.01,0.31,92,91
513,490,483,547,7,4.47,0.53,88,89
296,339,322,335,18,2.84,0.51,88,89
673,639,700,656,8,5.87,0.76,91,88
517,515,554,540,9,4.68,0.81,90,88
533,468,517,471,14,4.37,0.51,92,90
424,464,437,475,6,3.96,0.63,88,89
896,949,887,936,10,8.07,1.09,87,90
887,890,882,876,17,7.77,0.79,90,90
684,661,605,612,17,5.63,0.84,90,93
415,447,492,469,9,4.01,0.71,89,87
663,623,602,610,15,5.49,0.73,90,91
664,699,675,744,9,6.12,0.63,87,88
794,856,798,840,12,7.23,1.24,87,90
463,482,445,482,14,4.12,0.44,88,90
466,466,449,459,6,4.05,0.68,89,90
698,681,680,689,14,6.04,0.68,90,90
655,665,627,625,13,5.66,0.86,89,91
391,359,322,303,12,3.02,0.47,91,93
477,474,411,404,8,3.88,0.61,90,93
405,442,412,431,11,3.72,0.62,88,90
387,414,395,383,16,3.47,0.57,89,90
656,663,667,673,13,5.85,0.91,89,89
810,799,845,869,9,7.31,1.29,89,87
598,634,638,621,13,5.48,0.76,89,89
892,872,858,857,8,7.65,0.85,90,91
445,488,470,421,9,4.01,0.54,90,91
821,773,800,787,12,7.0,0.77,91,90
925,856,847,890,7,7.74,0.8,90,91
553,618,603,570,17,5.16,0.77,89,89
348,376,424,386,10,3.37,0.6,90,87
867,906,836,816,11,7.53,1.09,89,93
339,298,333,296,8,2.78,0.36,91,90
310,367,377,369,12,3.13,0.34,88,88
343,356,315,351,8,3.0,0.44,88,90
290,320,276,297,6,2.6,0.4,88,90
743,709,758,722,7,6.45,0.7,91,89
490,494,534,487,10,4.41,0.66,91,89
424,437,477,453,14,3.94,0.69,90,88
876,894,826,878,7,7.64,0.87,88,91
839,832,849,789,14,7.28,0.82,91,90
456,415,432,479,17,3.92,0.54,89,89
377,429,351,381,9,3.38,0.34,87,91
707,780,751,760,13,6.59,0.7,87,89
809,790,793,850,8,7.13,0.71,89,88
945,883,943,918,10,8.11,1.2,92,89
417,467,469,449,17,3.96,0.65,89,89
917,919,887,831,16,7.82,1.09,91,92
376,404,340,366,14,3.27,0.52,88,91
567,584,564,549,13,4.98,0.65,89,90
788,825,835,767,8,7.07,0.81,90,90
348,328,359,309,9,2.96,0.31,91,90
787,821,800,847,10,7.16,1.01,87,89
316,305,260,327,13,2.66,0.35,88,90
680,766,701,685,10,6.23,0.99,88,91
378,406,398,383,11,3.44,0.48,89,90
784,759,807,791,7,6.91,1.12,91,88
456,464,486,457,13,4.1,0.58,90,89
656,686,626,667,11,5.8,0.61,88,91
612,612,595,599,16,5.32,0.63,89,90
889,821,823,862,16,7.47,0.78,90,90
822,790,740,779,7,6.89,1.04,89,92
693,663,639,633,16,5.78,0.95,90,92
524,547,528,581,14,4.79,0.82,88,89
561,566,594,560,14,5.02,0.6,90,89
671,638,666,711,13,5.91,0.79,89,88
717,722,712,742,7,6.36,1.05,89,89
395,365,376,413,8,3.41,0.42,89,89
386,408,340,410,14,3.4,0.47,87,91
656,645,647,635,11,5.68,0.85,90,90
490,546,564,565,8,4.76,0.72,88,87
434,439,424,434,13,3.81,0.5,89,90
524,471,518,516,13,4.46,0.68,91,89
389,375,362,399,13,3.35,0.46,89,90
623,583,599,570,18,5.22,0.65,91,90
698,650,697,730,12,6.1,1.07,90,88
334,389,367,361,17,3.19,0.53,88,89
688,758,703,733,7,6.34,0.83,87,90
384,378,399,385,8,3.4,0.5,90,89
378,368,303,334,10,3.04,0.31,89,92
345,295,320,286,12,2.74,0.49,92,90
573,547,507,498,7,4.67,0.57,90,92
410,405,375,457,16,3.62,0.63,88,89
866,785,852,797,10,7.26,0.97,93,90
312,356,311,286,8,2.78,0.48,89,91
856,860,849,786,12,7.37,1.31,91,92
313,366,358,363,9,3.08,0.48,88,88
505,501,556,536,12,4.61,0.59,90,87
405,359,410,324,15,3.29,0.36,93,90
481,540,558,554,6,4.69,0.66,88,87
514,529,520,548,17,4.64,0.8,88,89
556,546,582,497,18,4.8,0.71,92,90
611,549,587,594,18,5.15,0.65,91,89
657,639,638,614,14,5.6,0.98,91,91
879,827,871,905,16,7.66,1.24,90,88
498,531,519,520,12,4.55,0.59,89,89
494,497,557,563,18,4.64,0.8,89,86
841,891,843,826,7,7.48,1.17,89,91
527,514,517,494,17,4.51,0.46,90,90
335,330,367,391,12,3.13,0.47,89,87
841,836,828,785,6,7.24,0.73,91,91
633,683,635,665,7,5.75,0.78,88,90
432,444,446,407,17,3.8,0.52,90,90
387,418,404,358,11,3.45,0.37,90,91
687,671,706,636,6,5.94,0.93,92,90
278,318,309,291,11,2.63,0.37,89,89
398,341,406,385,13,3.37,0.58,91,88
512,522,533,531,10,4.61,0.53,89,89
756,756,690,776,7,6.55,0.98,87,91
439,488,500,447,7,4.12,0.47,90,89
501,552,481,517,16,4.51,0.73,87,91
612,559,560,548,7,5.01,0.77,91,91
678,639,641,655,11,5.75,1.01,90,90
552,554,508,550,7,4.76,0.8,88,91
639,573,544,546,15,5.06,0.57,91,93
643,656,586,605,12,5.48,0.9,89,92
572,573,623,648,14,5.31,0.7,89,86
717,663,632,701,6,5.97,0.73,89,91
712,723,642,649,7,6.0,0.99,89,93
620,599,612,624,10,5.4,0.71,90,89
719,763,709,742,15,6.45,1.1,88,90
581,669,590,668,11,5.52,0.62,85,89
782,689,738,756,17,6.52,0.94,91,89
717,628,678,711,13,6.01,0.62,91,88
810,819,749,740,7,6.86,1.13,90,93
312,380,400,399,16,3.28,0.54,88,87
435,515,492,472,7,4.21,0.54,88,89
697,664,659,684,6,5.95,1.01,90,90
388,367,366,360,12,3.26,0.33,90,90
908,915,919,869,9,7.94,0.9,91,90
386,396,388,475,11,3.62,0.46,87,87
806,816,729,798,13,6.93,1.02,88,92
583,591,649,655,13,5.45,0.64,89,86
588,598,589,638,15,5.31,0.8,88,88
785,786,796,775,16,6.91,1.12,90,90
471,523,464,495,10,4.3,0.73,87,90
702,768,735,740,8,6.48,1.06,88,89
544,597,520,537,6,4.83,0.85,88,92
450,476,512,426,12,4.1,0.62,91,89
414,491,481,395,9,3.92,0.47,90,90
504,529,534,544,13,4.64,0.58,89,88
457,468,519,498,9,4.27,0.74,90,87
882,875,904,852,11,7.73,0.83,91,90
354,312,327,349,17,2.95,0.36,90,89
817,775,847,771,16,7.06,0.77,92,89
415,339,426,429,7,3.54,0.57,91,87
792,815,865,846,11,7.3,1.01,89,87
321,342,330,340,13,2.93,0.51,89,89
776,851,785,788,10,7.04,1.24,88,91
424,343,419,366,15,3.41,0.48,93,89
349,331,352,351,14,3.04,0.35,90,89
801,865,792,841,13,7.26,1.29,87,90
340,265,305,317,8,2.7,0.4,91,89
467,394,426,418,15,3.75,0.52,92,90
417,364,449,371,14,3.52,0.38,93,89
651,667,619,597,18,5.57,0.99,90,92
634,676,597,684,13,5.7,0.79,86,90
791,701,778,770,10,6.69,0.84,92,88
470,429,407,432,14,3.82,0.4,90,91
808,831,841,822,6,7.26,1.0,89,89
573,599,590,582,17,5.16,0.87,89,90
825,830,827,848,15,7.32,1.04,89,89
733,740,709,729,13,6.4,1.13,89,90
876,886,892,918,16,7.86,1.06,89,88
585,582,565,575,10,5.07,0.8,89,90
551,522,598,604,8,5.0,0.72,90,86
354,414,429,423,7,3.56,0.48,88,87
498,508,504,467,7,4.35,0.78,90,90
806,810,811,785,9,7.06,1.03,90,90
339,363,273,295,6,2.79,0.3,88,93
444,457,446,476,18,4.01,0.55,88,89
669,670,710,641,15,5.92,0.86,91,89
566,575,494,572,17,4.85,0.73,87,91
574,608,662,614,13,5.41,0.68,90,87
346,403,362,338,15,3.19,0.46,89,91
708,783,736,701,11,6.44,1.04,89,91
612,649,599,668,16,5.56,0.97,87,89
531,515,568,527,9,4.71,0.68,91,88
527,548,588,619,16,5.02,0.73,88,86
871,825,825,819,12,7.35,1.22,91,91
567,502,555,585,8,4.86,0.51,90,88
843,779,828,769,11,7.08,1.16,93,90
857,840,841,887,12,7.53,1.2,89,89
825,859,833,835,16,7.37,1.06,89,90
400,407,354,451,8,3.55,0.48,87,90
850,855,813,829,11,7.36,1.2,89,91
653,582,616,636,17,5.47,0.72,91,89
576,604,615,595,15,5.26,0.57,89,89
314,295,361,378,14,2.96,0.39,90,86
795,743,763,805,16,6.83,0.83,90,89
734,667,730,698,10,6.22,0.72,92,89
346,291,273,290,14,2.64,0.38,90,91
523,483,533,515,8,4.52,0.75,91,88
456,470,417,441,17,3.92,0.54,89,91
620,650,637,656,9,5.64,0.8,88,89
601,577,570,593,8,5.15,0.78,90,90
665,651,692,669,10,5.89,0.86,90,88
507,452,451,526,8,4.26,0.58,89,89
534,531,497,499,17,4.53,0.56,90,91
807,767,755,828,7,6.94,0.81,89,89
790,771,782,778,9,6.86,0.74,90,90
444,466,470,466,9,4.06,0.57,89,89
334,313,321,385,10,2.98,0.53,88,88
380,379,394,393,8,3.4,0.38,90,89
871,896,923,896,17,7.89,1.11,90,88
645,630,675,690,13,5.81,0.75,90,87
495,475,513,475,16,4.31,0.47,91,89
794,735,748,775,16,6.71,0.72,90,90
834,811,756,814,8,7.07,0.91,89,91
313,345,401,312,15,3.02,0.33,91,88
791,730,755,825,18,6.82,1.15,89,88
411,435,447,437,14,3.8,0.62,89,89
726,722,759,772,7,6.55,0.83,89,87
341,356,355,295,17,2.96,0.42,91,91
599,618,618,553,15,5.25,0.61,91,91
780,724,744,753,8,6.6,1.08,91,90
802,802,794,762,12,6.95,1.21,90,91
399,350,409,423,6,3.48,0.6,90,87
295,286,355,291,17,2.7,0.43,91,88
